,name,categories,address,city,postal_code,province,country,latitude,longitude,websites
6493,Arby's,Fast Food,1700 N Bechtle Ave,Springfield,45505,OH,US,39.947347,-83.833102,"http://www.arbys.com,http://arbys.com,http://locations.arbys.com/us/oh/springfield/1700-n-bechtle-ave.html"
6494,Arby's,"Fast Food Restaurant, Sandwich Place, and American Restaurant",1401 Commerce Dr,Saint Marys,45885,OH,US,40.554672,-84.409482,"http://www.arbys.com,https://locations.arbys.com/us/oh/st--marys/1401-commerce-dr.html,http://locations.arbys.com/us/oh/st--marys/1401-commerce-dr.html,http://arbys.com,http://dairyqueen.com"
6495,Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place South Columbus",1840 Winderly Ln,Pickerington,43147,OH,US,39.931063,-82.789923,"http://www.arbys.com,https://locations.arbys.com/us/oh/pickerington/1840-winderly-ln.html,http://locations.arbys.com/us/oh/pickerington/1840-winderly-ln.html,http://arbys.com"
6496,Arby's,Fast Food Restaurant,2522 Woodville Rd,Northwood,43619,OH,US,41.617606,-83.488684,"http://www.arbys.com,https://locations.arbys.com/us/oh/northwood/2522-woodville-rd.html,http://locations.arbys.com/us/oh/northwood/2522-woodville-rd.html"
6497,Arby's,Fast Food Restaurants,7553 Arbor Dr,Northwood,43619,OH,US,41.604708,-83.537582,"https://locations.arbys.com/us/oh/northwood/7553-arbor-dr.html,http://www.arbys.com,http://locations.arbys.com/us/oh/northwood/7553-arbor-dr.html,http://arbys.com"
6498,Wendy's,Fast Food Restaurant,17218 E Shea Blvd,Fountain Hills,85268,AZ,US,33.569365,-111.709287,"http://www.wendys.com,http://www.wendys.com/"
6499,Wendy's,Fast Food,2867 S San Tan Village Pkwy,Gilbert,85295,AZ,US,33.298829,-111.743776,"http://www.wendys.com,http://wendys.com/"
6500,Wendy's,Fast Food,84 E Germann Rd,Gilbert,85297,AZ,US,33.278046,-111.787767,"https://locations.wendys.com/gilbert-az-9827,http://www.wendys.com,http://wendys.com"
6501,Boston Market,American Restaurant and Fast Food Restaurant,247 State Route 10 E,Succasunna,7876,NJ,US,40.870439,-74.643354,"https://www.bostonmarket.com/location/succasunna-nj-119/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=119,http://www.bostonmarket.com"
6502,Boston Market,Fast Food Restaurant,491 Ridge Rd,North Arlington,7031,NJ,US,40.796507,-74.12797,"https://bostonmarket.com/location/north-arlington-nj-696/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=696,http://www.bostonmarket.com"
6503,Boston Market,Fast Food,6145 188th St,Fresh Meadows,11365,NY,US,40.739507,-73.785963,"http://www.bostonmarket.com,http://www.bostonmarket.com/,https://bostonmarket.com/location/fresh-meadows-ny-641/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=641"
6504,Jack in the Box,Fast Food Restaurant,13050 Interurban Ave S,Seattle,98168,WA,US,47.487118,-122.276424,http://www.jackinthebox.com
6505,Jack in the Box,Fast Food Restaurant,4702 Center St,Tacoma,98409,WA,US,47.233891,-122.500451,https://www.jackinthebox.com/locations/8340
6506,Jack in the Box,Fast Food Restaurants,1505 N Pines Rd,Spokane,99206,WA,US,47.670732,-117.239691,"https://www.jackinthebox.com/locations,http://www.jackinthebox.com/locations/8435"
6507,Jack in the Box,Fast Food Restaurant,2947 Olympic Hwy N,Shelton,98584,WA,US,47.230808,-123.126656,http://www.jackinthebox.com
6508,Jack in the Box,Fast Food Restaurant,4220 E Sprague Ave,Spokane,99202,WA,US,47.656923,-117.347242,http://www.jackinthebox.com/locations/8480
6509,Jack in the Box,Fast Food Restaurant,4749 University Way NE,Seattle,98105,WA,US,47.663098,-122.313085,"http://www.jackinthebox.com,http://jackinthebox.com/"
6510,Jack in the Box,Fast Food Restaurants,1280 W Washington St,Sequim,98382,WA,US,48.076753,-123.140751,http://www.jackinthebox.com
6511,Jack in the Box,Fast Food Restaurant,310 NE Stadium Way,Pullman,99163,WA,US,46.739704,-117.172699,http://www.jackinthebox.com
6512,Jack in the Box,Fast Food Restaurant,304 E College Way,Mount Vernon,98273,WA,US,48.435858,-122.33673,"http://www.jackinthebox.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJR48zferMzapLmLq63-T6htB9cHhPL3S-dCp1rbzgqZYSdEYuVyAbF6j81UFObBEtxDPCPDECgtTAfR99RCvrC8R99zGmuesHJIr7dKQfmWmEdutHrIuGzWFXsMvMixEPq84ExbPp-dDOuiHyv5oMw7CdMYisVI5qM6NmIqqUubuBfc98fRkjkFyVMLiDkCNaMmzq3XgXI3CfkoPWw0jbCL6hWiw0-ohGRuD_l8YktRjCRqeLfoYm2D4kj1TBXHoowqMxswaK7MEmgXIR6p-0HrboyDFcuohjIwcrgXa5PlylFHTRLMEbGFOWtbFazfGniem1dOuJCCKendFOqBmAWElIUHWYdu48cFRHiCR-nV0&placement=listing_profile&cs_user=unknown&cs_session=9b7319ee3e94c4a37bfc951b0b0c062105943178"
6513,Jack in the Box,Fast Food Restaurant,9603 State Ave,Marysville,98270,WA,US,48.082888,-122.173289,http://www.jackinthebox.com
6514,Jack in the Box,Fast Food Restaurant,8504 Hipkins Rd SW,Lakewood,98498,WA,US,47.179504,-122.548074,http://www.jackinthebox.com
6515,Jack in the Box,Fast Food Restaurant,9815 Gravelly Lake Dr SW,Lakewood,98499,WA,US,47.167801,-122.520015,http://www.jackinthebox.com
6516,Wendy's,Fast Food Restaurant,33475 Yucaipa Blvd,Yucaipa,92399,CA,US,34.033847,-117.074343,http://wendys.com
6517,Wendy's,Fast Food Restaurant,1401 S Victoria Ave,Ventura,93003,CA,US,34.261685,-119.212772,http://www.wendys.com
6518,Wendy's,Fast Food,485 N Mathilda Ave,Sunnyvale,94085,CA,US,37.389378,-122.031397,"http://www.wendys.com,http://www.wendys.com/"
6519,Wendy's,Fast Food Restaurant,1313 S Wolfe Rd,Sunnyvale,94087,CA,US,37.351091,-122.014663,"http://www.wendys.com,http://www.wendys.com/"
6520,Arby's,Fast Food Restaurant,4727 Morse Road,Columbus,43230,OH,US,40.0548,-82.864898,http://www.arbys.com
6521,Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place",2467 S Hamilton Rd,Columbus,43232,OH,US,39.923849,-82.88054,http://www.arbys.com
6522,Arby's,"Fast Food Restaurant, Sandwich Place, and American Restaurant",1521 State Rte 7 S,Gallipolis,45631,OH,US,38.823385,-82.171871,"http://locations.arbys.com/us/oh/gallipolis/1521-state-rte-7-s.html,http://arbys.com"
6523,Arby's,Fast Food Restaurants,1575 Polaris Pkwy,Columbus,43240,OH,US,40.141039,-82.97522,"http://www.arbys.com,http://arbys.com"
6524,Arby's,Fast Food,1400 S Main St,Bryan,43506,OH,US,41.458349,-84.551426,"http://www.arbys.com,https://locations.arbys.com/us/oh/bryan/1400-s-main-st.html,http://locations.arbys.com/us/oh/bryan/1400-s-main-st.html"
6525,Arby's,Fast Food Restaurant,1214 W Ohio Pike,Amelia,45102,OH,US,39.046725,-84.244307,http://www.arbys.com
6526,Arby's,"Fast Food Restaurant, Sandwich Place, and American Restaurant",2019 Hospital Dr,Batavia,45103,OH,US,39.082445,-84.149439,"http://www.arbys.com,https://locations.arbys.com/us/oh/batavia/2019-hospital-dr.html"
6527,Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place Ellet",1000 E Waterloo Rd,Akron,44306,OH,US,41.029139,-81.491032,"http://www.arbys.com,https://locations.arbys.com/us/oh/akron/1000-e-waterloo-rd.html,http://arbys.com,http://locations.arbys.com/us/oh/akron/1000-e-waterloo-rd.html"
6528,Arby's,Fast Food,940 Lancaster Dr NE,Salem,97301,OR,US,44.942986,-122.982958,"http://www.arbys.com,https://locations.arbys.com/us/or/salem/940-lancaster-dr-ne.html,http://locations.arbys.com/us/or/salem/940-lancaster-dr-ne.html,http://arbys.com"
6529,Arby's,"Fast Food Restaurant, Sandwich Place, and American Restaurant",280 Grant Smith Rd,Roseburg,97470,OR,US,43.150567,-123.368033,"https://locations.arbys.com/us/or/roseburg/280-grant-smith-rd.html,http://locations.arbys.com/us/or/roseburg/280-grant-smith-rd.html,http://arbys.com"
6530,Arby's,Fast Food,3171 N Lombard St,Portland,97217,OR,US,45.577403,-122.699428,"http://www.arbys.com,https://locations.arbys.com/us/or/portland/3171-n-lombard-st.html,http://locations.arbys.com/us/or/portland/3171-n-lombard-st.html"
6531,Arby's,Fast Food Restaurant,12035 Ne Halsey,Portland,97220,OR,US,45.533828,-122.538958,http://www.arbys.com
6532,Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place",10499 Se 82 Ave,Portland,97266,OR,US,45.447271,-122.57938,http://www.arbys.com
6533,Arby's,"Fast Food Restaurant, Sandwich Place, and American Restaurant",3865 W 11th Ave,Eugene,97402,OR,US,44.048521,-123.154583,"https://locations.arbys.com/us/or/eugene/3865-w-11th-ave.html,http://www.arbys.com,http://locations.arbys.com/us/or/eugene/3865-w-11th-ave.html,http://arbys.com"
6534,Arby's,Fast Food Restaurant,2503 Nw 9th St,Corvallis,97330,OR,US,44.592948,-123.251966,"http://www.arbys.com,http://locations.arbys.com/us/or/corvallis/2503-nw-9th-st.html"
